,ticket_id,user_name,refund_reject_reason
1,TICKET-efb500cc-061a-4c61-b3b2-ee11cbb6a7ec,Cgrrg,transaction_id_not_matched
11,TICKET-8c43050c-6606-4cbd-bd46-52295213dd0d,Aiire,transaction_id_not_matched
12,TICKET-124b0bbd-d756-47c9-8a91-3345ecf5373c,Bbrgu,transaction_id_not_matched
20,TICKET-d883a6e2-d517-42f9-a3a1-acb5111d63cb,Bgubg,transaction_id_not_matched
27,TICKET-91bd4968-5a83-44bd-b4fc-9d43f169c53e,Aiege,transaction_id_not_matched
29,TICKET-9e3d17e7-a23d-405d-9fb2-547091e45367,Argui,transaction_id_not_matched
30,TICKET-dea3e5b5-0bf9-4e31-8d08-567bf80329d9,Crrgr,transaction_id_not_matched
42,TICKET-fd184f70-9287-4dc7-843f-dface98902f3,Cbrre,transaction_id_not_matched
50,TICKET-5f99f7d4-e9b5-4566-bdd5-c6b7303f7335,Airee,transaction_id_not_matched
51,TICKET-65d46941-0a1e-4ec3-b1b9-60744dd89a6e,Cguri,transaction_id_not_matched
52,TICKET-97bd6302-4b61-4132-b0b9-26c200509ecb,Curig,transaction_id_not_matched
53,TICKET-bcd8ee5b-4897-49bc-b422-f5b716f40bab,Agire,transaction_id_not_matched
55,TICKET-6cb75ce1-5392-4d54-86c1-c6bb720fec79,Burri,transaction_id_not_matched
65,TICKET-259bcad0-3978-4f70-838d-0b80a738aba6,Brrre,transaction_id_not_matched
67,TICKET-1ce64928-8b69-4c03-b140-4426081d2788,Cgirr,transaction_id_not_matched
78,TICKET-33076d0b-32ea-4741-9c3d-b487ced39d6d,Cibue,transaction_id_not_matched
80,TICKET-3c96bff8-0cf7-4bf2-9764-2499c382b5bd,Aurbu,transaction_id_not_matched
83,TICKET-96ea392a-ec85-4863-abb7-7bc7b531839f,Airir,transaction_id_not_matched
89,TICKET-9410b034-b101-4584-a4b2-fda22a71eee4,Cieub,transaction_id_not_matched
92,TICKET-81f14f7a-3e6c-42ec-83e8-a3dc062dbaab,Ceueg,transaction_id_not_matched
110,TICKET-b4d151cd-9dcd-41db-ab35-7ea450a682b4,Cbeiu,transaction_id_not_matched
114,TICKET-a6ff0bdd-1c99-4f04-abe0-3ce0576017fe,Brubb,transaction_id_not_matched
