,ticket_id,user_name,refund_reject_reason
7,TICKET-50f2b236-2bbb-4278-b958-79048ec561af,Auuie,transaction_id_not_matched
8,TICKET-bb0ea018-5eea-4fa0-8569-238c75859b3a,Buiei,transaction_id_not_matched
14,TICKET-0e324dc9-351d-44c0-9623-2bdb68370290,Cuiig,transaction_id_not_matched
18,TICKET-b454e22c-9347-4454-b8bd-85c9e501b42e,Briie,transaction_id_not_matched
24,TICKET-ebb41471-b75a-4433-a371-5a427d7fd755,Ageer,transaction_id_not_matched
35,TICKET-5f9addd6-48b8-490b-ae4a-038316f06461,Auebr,transaction_id_not_matched
47,TICKET-b00f3116-2dac-4bac-a968-38be8386c7d6,Aiiiu,transaction_id_not_matched
50,TICKET-f8ca6faa-d0df-4268-91c7-1c5f1b7f693e,Auirb,transaction_id_not_matched
57,TICKET-47f14e90-090e-47f5-9eb0-c84526137758,Aebiu,transaction_id_not_matched
64,TICKET-a566f549-eae3-404b-a933-6ed4ff5117cd,Aeiib,transaction_id_not_matched
72,TICKET-f88946ee-8482-4d08-bfac-c3ff115943fd,Beiur,transaction_id_not_matched
74,TICKET-5e58e8a8-6f5b-4ff9-bd84-f51c7bcdba8e,Auuue,transaction_id_not_matched
85,TICKET-c2d21add-6a9f-4fb3-b547-a4de4a6cf59d,Aeere,transaction_id_not_matched
109,TICKET-0b2dcbef-5f8d-400c-9ff7-75a67566ac9e,Cbeir,transaction_id_not_matched
114,TICKET-9f5838aa-656f-474a-9c70-64eb8c6eafe2,Cguie,transaction_id_not_matched
129,TICKET-a0e1bf10-b79d-460d-a450-d9eac9d185b3,Aurir,transaction_id_not_matched
130,TICKET-d62b3c99-be3d-4104-b303-48b4c6075b9e,Beiri,transaction_id_not_matched
134,TICKET-47d8a0c9-d888-4d8d-a96d-d2c20cdb6c6c,Argei,transaction_id_not_matched
139,TICKET-c4c2a71a-c75a-427f-b778-41b67deb05d4,Crrie,transaction_id_not_matched
146,TICKET-4ab90076-b970-4f28-9dcd-5cf92ee3a8d9,Aeiru,transaction_id_not_matched
148,TICKET-e90f0bf3-4640-428d-b4df-8007beb9d4e6,Agrbe,transaction_id_not_matched
159,TICKET-abe15320-5544-4686-8b4b-a39919557649,Cuubu,transaction_id_not_matched
160,TICKET-5e7bcca9-e9fc-4648-a494-86434d749d64,Brgbr,transaction_id_not_matched
162,TICKET-13eb598a-4626-4935-ba2a-d70d0a7595f1,Aiuue,transaction_id_not_matched
164,TICKET-816c5430-162d-4cc2-9682-19802f0d6927,Bgger,already_processed
168,TICKET-eed2dab2-5408-4ef0-99d6-e3fdecfa233f,Areue,transaction_id_not_matched
175,TICKET-a0aca509-1ec6-4edc-a206-b0c794b0f666,Biibr,transaction_id_not_matched
186,TICKET-ca37e0d3-fdd8-4bfc-8d09-45175de08292,Bbreg,transaction_id_not_matched
